id;name;start_date;end_date;department_name;budget;free_field_1;free_field_2;free_field_3;last_modified;last_modified_by
1;contextually-based Alaska Fresh;2022-09-20T23:28:51;2022-09-21T10:51:49;Architect Micronesia Health;alarm functionalities extensible;Total USB e-services;European Junctions digital;Account;invoice optical;vortals revolutionary
2;Computer Supervisor;2022-09-20T18:32:40;2022-09-21T02:04:36;Diverse;Brand copying;Corners Buckinghamshire Keyboard;Oklahoma;Tennessee Direct Radial;magenta;Assurance systemic
3;International open-source;2022-09-20T14:32:51;2022-09-21T12:23:25;Gloves violet Account;pink;microchip index actuating;Computer invoice digital;Administrator Berkshire Vision-oriented;next-generation;Gloves
4;Villages world-class;2022-09-20T20:53:36;2022-09-20T16:49:31;Liberia Metrics;Computer digital matrix;Metal matrix back-end;Cross-group compelling;Cote;supply-chains;South
5;teal e-services;2022-09-20T20:38:48;2022-09-20T15:00:51;District local Springs;program salmon Bedfordshire;Ball PCI Arabia;strategy black;conglomeration;system Handmade;Refined Borders scalable
6;Swiss;2022-09-21T09:35:45;2022-09-20T12:57:22;eyeballs hardware;Digitized Home;Frozen GB invoice;CSS Computer;Investor invoice;B2C withdrawal Ball;York Designer
7;brand;2022-09-21T07:01:28;2022-09-21T04:56:46;Analyst Strategist;seize payment;systems;Savings;applications;Market;innovative coherent connecting
8;Associate;2022-09-20T23:33:51;2022-09-20T16:20:50;Buckinghamshire mint;Paradigm Franc;Iranian 4th human-resource;Ball Director;copying bus;vortals grow vortals;JBOD Frozen Tennessee
9;Licensed;2022-09-21T12:26:03;2022-09-21T07:11:19;Persistent;optical ADP;Mountains Customer;Toys program Cotton;Account cross-platform;Soft product;payment
10;Awesome Ports;2022-09-21T03:25:14;2022-09-20T17:31:05;Movies magenta;Generic deploy SQL;Concrete architectures generate;Tools;Myanmar;world-class system parsing;Optimization Account
