id;approval_date;qty_requested;qty_approved;comment;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;2022-09-21T06:20:34;86605;31385;parsing Account cross-media;Gambia systemic Cyprus;web-enabled red Customer;firewall;false;false
2;2022-09-21T08:04:50;82371;712;SCSI;HTTP context-sensitive;Architect South;Planner cross-platform info-mediaries;false;false
3;2022-09-21T09:06:36;35259;37435;distributed;Supervisor Granite;needs-based task-force Pataca;Hat bypassing Plastic;true;true
4;2022-09-21T08:35:10;33218;75425;synthesizing Account;Frozen;Consultant application card;multi-byte salmon payment;true;true
5;2022-09-20T14:51:17;73680;88920;Open-source firewall;Division;Bridge Sports Industrial;Peru architectures hacking;true;true
6;2022-09-21T09:52:06;79403;49959;middleware 5th Multi-layered;Electronics program Small;payment Pataca;dot-com Web hacking;false;true
7;2022-09-20T20:40:09;7403;42947;Texas;Strategist Salad;engage;Steel Triple-buffered;true;true
8;2022-09-20T19:28:43;16421;33283;solution;Configurable pink;Towels invoice;Refined back-end;false;false
9;2022-09-21T10:23:26;56771;39727;Generic Chicken payment;index Granite;mobile Technician;cyan;true;true
10;2022-09-21T05:23:27;4012;81350;Account;Central;orchid Shoes global;Managed;true;true
