id;gr_date;qty_ordered;qty_recieved;manufacturing_date;expiry_date;lot_no;free_field_1;free_field_2;free_field_3
1;2022-09-20T16:32:40;22051;54709;2022-09-20T12:37:50;2022-09-20T16:42:16;Industrial;policy transmitting Assimilated;Cambridgeshire;back-end Intelligent input
2;2022-09-20T20:29:17;25076;56431;2022-09-20T16:32:21;2022-09-20T14:02:16;bypassing North auxiliary;SAS Legacy;repurpose grow Producer;concept orchid open-source
3;2022-09-20T16:47:03;27953;89123;2022-09-21T08:31:18;2022-09-21T10:39:19;withdrawal executive users;Investment International open-source;navigate calculating;Ohio Fish
4;2022-09-20T14:47:02;67270;8751;2022-09-20T23:50:13;2022-09-21T04:19:58;Maine reboot program;e-business end-to-end stable;blue backing;Wooden mobile Cross-group
5;2022-09-21T11:44:14;94504;48494;2022-09-21T10:41:13;2022-09-20T22:07:16;Uruguay;copying;Views Incredible Isle;array
6;2022-09-20T17:09:47;58819;96365;2022-09-21T03:43:54;2022-09-21T08:57:31;Mouse Avon Frozen;Quality Cheese calculate;Decentralized Cotton calculate;Barbados invoice
7;2022-09-20T16:13:04;87470;55292;2022-09-20T12:44:16;2022-09-21T00:19:21;calculating;Avon Cotton;Personal Cambridgeshire National;Assurance Georgia
8;2022-09-21T07:53:58;27534;78563;2022-09-21T03:22:21;2022-09-20T19:14:24;alarm JBOD e-markets;archive value-added Refined;reboot explicit;Ball United
9;2022-09-20T17:27:19;98088;11251;2022-09-20T23:37:41;2022-09-21T03:30:34;envisioneer;Industrial Extension 5th;Supervisor;Licensed
10;2022-09-21T08:20:43;51825;51014;2022-09-21T00:30:43;2022-09-21T03:44:22;multimedia AI connecting;Points magnetic Lock;Markets Refined payment;Account York
