id;transfer_date;qty_transfered;qty_received;comment;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;2022-09-20T13:42:47;16140;55327;synthesize;Games;Chief Pass Applications;bluetooth enhance;true;false
2;2022-09-21T03:13:27;474;25126;instruction Handcrafted wireless;Intelligent;Bedfordshire Creek Lari;Guinea Steel;true;true
3;2022-09-21T03:52:23;53460;85207;lime Towels;Soft;Fresh;Granite;true;true
4;2022-09-21T10:02:55;16676;29321;Berkshire Music interface;Fords bandwidth;navigate Practical Ergonomic;Principal;true;true
5;2022-09-21T04:59:38;44527;52823;Re-contextualized Investment;Tala;convergence transmitting composite;Fish;true;false
6;2022-09-21T02:21:01;28396;32672;Account mission-critical;Technician 5th People's;Dollar Principal Tools;Diverse Senior;true;false
7;2022-09-21T07:13:29;99651;72554;orchid;Factors;PNG Intelligent;background Philippines;true;false
8;2022-09-21T10:50:30;91306;459;optimal;orange green Rest;system;Cambridgeshire;true;false
9;2022-09-21T10:02:52;17923;84032;bypassing Cotton Bedfordshire;Manager solution-oriented;Architect Avon Bacon;azure incentivize matrix;false;true
10;2022-09-20T18:46:20;87986;13687;Account e-commerce;compressing Regional;Executive area;Buckinghamshire Synchronised Rustic;true;true
