id;inward_outward_date;inward_qty;outward_qty;total_quanity;price_per_unit;lot_no;expiry_date;inventory_type_id;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-09-21T10:13:07;1080p niches conglomeration;white Maine District;Mountains;67008;quantify;2022-09-21T03:39:35;quantifying Creative transform;Somalia Netherlands homogeneous;teal Shoes calculate;Handcrafted Pound;fuchsia payment THX;true;false
2;2022-09-21T10:08:49;Alaska redundant;Analyst;value-added hack;48607;Malta 1080p;2022-09-21T05:28:03;Books Buckinghamshire;dedicated redundant Borders;Turkish;Sweden Nebraska;Pizza frictionless Bedfordshire;true;false
3;2022-09-21T01:31:48;Sleek encompassing;solid;Handmade Drive Operations;26791;systems Wyoming;2022-09-20T18:56:49;Arab withdrawal;Supervisor mobile Manager;UIC-Franc;Rhode Industrial Regional;customized Versatile;true;false
4;2022-09-20T14:57:15;Mouse Investor invoice;Berkshire Missouri Chief;Pants EXE Leone;6726;Response parse overriding;2022-09-21T06:19:03;Small;Fish cohesive;Analyst;virtual Avon web-enabled;Berkshire indexing;false;true
5;2022-09-20T20:51:02;Extended;Krona empower Tuna;Tasty Inlet;64142;Internal Granite Chile;2022-09-21T11:53:17;Chips Strategist transition;withdrawal;engage programming recontextualize;Kroon;transform Unbranded Practical;true;false
6;2022-09-21T02:38:57;Producer deposit;Oklahoma mission-critical Cedi;Bedfordshire;4592;Generic;2022-09-20T13:33:14;Lead;Peso Oklahoma;regional;Ergonomic India Human;well-modulated Wooden Manat;false;true
7;2022-09-20T14:55:56;Rubber;compress orange;Concrete program Consultant;16287;Lane;2022-09-21T05:18:46;HDD North;Iranian Regional;dynamic;Vermont International;web-readiness Salad Berkshire;false;true
8;2022-09-20T23:21:34;bypass Industrial;Account Bedfordshire Berkshire;Account Frozen;78005;user-facing Gorgeous;2022-09-21T01:14:10;24/365 administration;system;Shore Administrator Concrete;Seamless;scalable Chicken;true;true
9;2022-09-20T18:49:49;User-centric digital;Buckinghamshire Sleek;composite Oregon;14728;client-driven;2022-09-20T15:57:16;blue Licensed index;Arkansas Up-sized firewall;Avon methodologies Assurance;Lakes;Wooden;true;true
10;2022-09-20T14:14:40;service-desk Fantastic;multi-tasking Knoll;generate;12480;redefine Squares;2022-09-21T00:40:04;Infrastructure Inverse;Usability indexing drive;Port Cheese Sleek;Diverse;Digitized pink;false;true
