id;approval_date;qty;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-09-21T06:41:00;13957;back Supervisor;(Malvinas) Concrete internet;indexing;data-warehouse Associate bus;Senior Benin;true;false
2;2022-09-20T23:50:01;45937;redundant Sausages bluetooth;Intelligent;Producer;bottom-line SSL;Lock;true;true
3;2022-09-21T06:01:59;86199;Functionality orchid;Kids connecting;modular Steel;Market Rustic Vermont;Global;true;false
4;2022-09-20T17:32:12;75771;Tasty Frozen;invoice Reverse-engineered;wireless haptic Pizza;system Cordoba;Functionality;true;false
5;2022-09-20T22:30:35;98800;Buckinghamshire;Handcrafted Refined;Facilitator;Gardens Trail;Investment open;true;false
6;2022-09-21T08:25:23;78400;Yemen;copying Account;Uganda;Monetary e-business instruction;Gourde;true;false
7;2022-09-21T06:22:15;35890;Berkshire visualize;ivory;background;Gibraltar Vietnam;Integration violet;false;true
8;2022-09-21T05:26:49;96559;cyan engage programming;Customer SMS;orange;Tanzania Fresh Dollar;copying;true;false
9;2022-09-20T17:54:56;49985;Strategist ubiquitous;migration Iowa Avon;Iowa online;transitional;deliverables SAS;false;true
10;2022-09-20T22:09:54;59838;invoice Towels;RAM Associate matrix;capacitor;tangible;auxiliary Unbranded up;true;false
